=== FILE: flatten_map.csv ===
old_path,new_path,move_strategy,reason,estimated_risk,restoration_commit
candidate/core/matrix/nodes/memory_node.py,MATRIZ/candidate_core_matrix_nodes_memory_node.py,move,depth=4; import_count=0; score=8,low,
candidate/core/matrix/nodes/attention_node.py,MATRIZ/candidate_core_matrix_nodes_attention_node.py,move,depth=4; import_count=0; score=8,low,
candidate/core/matrix/nodes/thought_node.py,MATRIZ/candidate_core_matrix_nodes_thought_node.py,move,depth=4; import_count=0; score=8,low,
candidate/core/matrix/nodes/risk_node.py,MATRIZ/candidate_core_matrix_nodes_risk_node.py,move,depth=4; import_count=0; score=8,low,
candidate/core/matrix/nodes/intent_node.py,MATRIZ/candidate_core_matrix_nodes_intent_node.py,move,depth=4; import_count=0; score=8,low,
candidate/core/matrix/nodes/action_node.py,MATRIZ/candidate_core_matrix_nodes_action_node.py,move,depth=4; import_count=0; score=8,low,
candidate/core/matrix/nodes/vision_node.py,MATRIZ/candidate_core_matrix_nodes_vision_node.py,move,depth=4; import_count=0; score=8,low,
candidate/governance/identity/core/lambda_id_core.py,candidate_governance_identity_core_lambda_id_core.py,move,depth=4; import_count=0; score=8,low,
candidate/consciousness/core/engine.py,candidate_consciousness_core_engine.py,move,depth=3; import_count=0; score=6,low,
candidate/governance/guardian/guardian_system.py,candidate_governance_guardian_guardian_system.py,move,depth=3; import_count=0; score=6,low,
labs/core/glyph/glyph.py,labs_core_glyph_glyph.py,move,depth=3; import_count=0; score=6,low,
MATRIZ/matrix_utils/helpers.py,MATRIZ/MATRIZ_matrix_utils_helpers.py,move,depth=2; import_count=0; score=4,low,
lukhas/core/module_registry.py,lukhas_core_module_registry.py,move,depth=2; import_count=0; score=4,low,
lukhas/serve/guardian_api.py,lukhas_serve_guardian_api.py,move,depth=2; import_count=0; score=4,low,
labs/core/supervision.py,labs_core_supervision.py,move,depth=2; import_count=0; score=4,low,
labs/memory/memory_core.py,labs_memory_memory_core.py,move,depth=2; import_count=0; score=4,low,
scripts/ci/slo_gate.py,scripts_ci_slo_gate.py,move,depth=2; import_count=0; score=4,low,
scripts/enrich/writer.py,scripts_enrich_writer.py,move,depth=2; import_count=0; score=4,low,
bridge/api/paths.py,bridge_api_paths.py,move,depth=2; import_count=0; score=4,low,
bridge/api/setup.py,bridge_api_setup.py,move,depth=2; import_count=0; score=4,low,
qi/systems/qi_engine.py,qi_systems_qi_engine.py,move,depth=2; import_count=0; score=4,low,
benchmarks/scripts/benchmark_matriz_pipeline.py,benchmarks_scripts_benchmark_matriz_pipeline.py,move,depth=2; import_count=0; score=4,low,
MATRIZ/__init__.py,MATRIZ/MATRIZ___init__.py,move,depth=1; import_count=0; score=2,low,
tools/symbol_resolver.py,tools_symbol_resolver.py,move,depth=1; import_count=0; score=2,low,
tools/fix_f821_batch.py,tools_fix_f821_batch.py,move,depth=1; import_count=0; score=2,low,
tools/autodoc_headers.py,tools_autodoc_headers.py,move,depth=1; import_count=0; score=2,low,
tools/inventory.py,tools_inventory.py,move,depth=1; import_count=0; score=2,low,
tools/manifest_indexer.py,tools_manifest_indexer.py,move,depth=1; import_count=0; score=2,low,
tools/command_registry.py,tools_command_registry.py,move,depth=1; import_count=0; score=2,low,
tools/manifesto.py,tools_manifesto.py,move,depth=1; import_count=0; score=2,low,
scripts/restore.py,scripts_restore.py,move,depth=1; import_count=0; score=2,low,
scripts/backup_create.py,scripts_backup_create.py,move,depth=1; import_count=0; score=2,low,
scripts/notion_sync.py,scripts_notion_sync.py,move,depth=1; import_count=0; score=2,low,
scripts/kpi_badge.py,scripts_kpi_badge.py,move,depth=1; import_count=0; score=2,low,
scripts/perp_research.py,scripts_perp_research.py,move,depth=1; import_count=0; score=2,low,
bridge/message_bus.py,bridge_message_bus.py,move,depth=1; import_count=0; score=2,low,
core/minimal_actor.py,core_minimal_actor.py,move,depth=1; import_count=0; score=2,low,
core/common.py,core_common.py,move,depth=1; import_count=0; score=2,low,
core/targeted_api_fixes.py,core_targeted_api_fixes.py,move,depth=1; import_count=0; score=2,low,
qi/qi_flux.py,qi_qi_flux.py,move,depth=1; import_count=0; score=2,low,
qi/validator.py,qi_validator.py,move,depth=1; import_count=0; score=2,low,
qi/consensus_system.py,qi_consensus_system.py,move,depth=1; import_count=0; score=2,low,
aka_qualia/util.py,aka_qualia_util.py,move,depth=1; import_count=0; score=2,low,
aka_qualia/regulation.py,aka_qualia_regulation.py,move,depth=1; import_count=0; score=2,low,
mcp-lukhas-sse/server.py,mcp-lukhas-sse_server.py,move,depth=1; import_count=0; score=2,low,
observability/events.py,observability_events.py,move,depth=1; import_count=0; score=2,low,
serve/guardian_api.py,serve_guardian_api.py,move,depth=1; import_count=0; score=2,low,
benchmarks/matriz_pipeline.py,benchmarks_matriz_pipeline.py,move,depth=1; import_count=0; score=2,low,
# Sample discovery output - common nested file patterns,# Sample discovery output - common nested file patterns.py,move,depth=0; import_count=0; score=0,low,
